0,-10.980956005258868,-10.982085997714563,-10.980428009599041,-2.457395076751709
200,-6.027074661193588,-5.992992332150774,-6.034499537370113,-2.3473575115203857
400,-5.9907354811391444,-5.9604168477630965,-6.015223707050564,-2.3457136154174805
600,-5.98102885062921,-5.95768806411538,-6.0123704078023605,-2.352144479751587
800,-5.974923328286262,-5.96118571529468,-6.009302542442445,-2.3459360599517822
1000,-5.969013951306702,-5.951851439354427,-6.009192882863199,-2.3600974082946777
1200,-5.964190872613907,-5.957772104177533,-6.012970838322775,-2.347278356552124
1400,-5.96008604052158,-5.954739616157061,-6.0093578437644855,-2.343438148498535
1600,-5.958100189422104,-5.957190048932255,-6.012057536612041,-2.3532533645629883
1800,-5.9552633616635635,-5.959967417356644,-6.01925187647269,-2.3426737785339355
2000,-5.953336429613628,-5.959922595990163,-6.019341882580733,-2.3488357067108154
2200,-5.950567445518664,-5.957494092860816,-6.022021469285963,-2.354308843612671
2400,-5.950969219119357,-5.966456470303807,-6.033323233737639,-2.3450729846954346
2600,-5.946746254709903,-5.961391514409843,-6.0268285348182555,-2.342156410217285
2800,-5.94623642764614,-5.96732499746465,-6.027545226371775,-2.350626230239868
3000,-5.944454537548379,-5.9655533084506835,-6.027758245857154,-2.3493752479553223
3200,-5.941318022306737,-5.965826650875058,-6.032052208672937,-2.342482089996338
3400,-5.940763051633184,-5.964042228518341,-6.032348217863972,-2.351705551147461
3600,-5.936800228783952,-5.966708845157119,-6.034432202540753,-2.346433639526367
3800,-5.935439304356286,-5.967365942235672,-6.035005963187578,-2.341291666030884
4000,-5.934085177119867,-5.968101787965056,-6.034556988879983,-2.347078800201416
